State	Comparsion	Mean	Lower	Upper	PMCMC
SM	temperate-open vs tropical-open	-0.258385451023284	-0.470042307403187	-0.0763370173980654	0.00397553516819571
SM	temperate-closed vs tropical-closed	-0.262815355938279	-0.542178531676129	0.046270556038352	0.0489296636085627
SM	tropical-open vs tropical-closed	-0.192023680607746	-0.409942743966962	-0.00766238533200392	0.0327217125382263
SM	temperate-open vs temperate-closed	-0.187593775692751	-0.455104182559504	0.0344990385657451	0.0529051987767584
FP	temperate-open vs tropical-open	0.357948116302873	0.115184506393344	0.592274005806239	0.000305810397553517
FP	temperate-closed vs tropical-closed	0.322012283322696	0.0601451786956699	0.65297745666713	0.000917431192660551
FP	tropical-open vs tropical-closed	0.0564584944178574	-0.0249450732824405	0.165653327426426	0.0773700305810398
FP	temperate-open vs temperate-closed	0.0923943273980343	-0.209982561312188	0.415517066116418	0.274923547400612
SD	temperate-open vs tropical-open	-0.0995626652795893	-0.361418898742574	0.142720137491942	0.229357798165138
SD	temperate-closed vs tropical-closed	-0.0591969273844171	-0.380958697957197	0.289227931632346	0.342201834862385
SD	tropical-open vs tropical-closed	0.135565186189889	-0.0870159298606724	0.34557825827794	0.109174311926606
SD	temperate-open vs temperate-closed	0.0951994482947169	-0.236508601298373	0.418014451159803	0.27737003058104
